Symbol,Sector
PRICOLLTD,Consumer Cyclical
PTC,Utilities
AARTIPHARM,Healthcare
MBAPL,Basic Materials
SAGCEM,Basic Materials
TDPOWERSYS,Industrials
JAICORPLTD,Basic Materials
DBL,Industrials
BARBEQUE,Consumer Cyclical
UNIPARTS,Industrials
UFLEX,Consumer Cyclical
WONDERLA,Consumer Cyclical
PSPPROJECT,Industrials
KIRLOSIND,Industrials
IPL,Basic Materials
DISHTV,Communication Services
TATAMETALI,Basic Materials
PAISALO,Financial Services
PFOCUS,Communication Services
HEMIPROP,Real Estate
LGBBROSLTD,Consumer Cyclical
MAITHANALL,Basic Materials
SSWL,Consumer Cyclical
NEULANDLAB,Healthcare
HATHWAY,Communication Services
THYROCARE,Healthcare
ORIENTCEM,Basic Materials
DREAMFOLKS,Industrials
ETHOSLTD,Consumer Cyclical
GLOBUSSPR,Consumer Defensive
GANESHHOUC,Real Estate
ARVIND,Consumer Cyclical
ICIL,Consumer Cyclical
SHRIPISTON,Consumer Cyclical
WOCKPHARMA,Healthcare
DBREALTY,Real Estate
ISMTLTD,Basic Materials
JINDALPOLY,Basic Materials
WABAG,Industrials
BAJAJCON,Consumer Defensive
GENUSPOWER,Industrials
BUTTERFLY,Consumer Cyclical
NAVNETEDUL,Communication Services
GOKEX,Consumer Cyclical
APOLLOPIPE,Industrials
LANDMARK,Consumer Cyclical
IFCI,Financial Services
ATFL,Consumer Defensive
EVEREADY,Industrials
AGI,Consumer Cyclical
TI,Consumer Defensive
ASHOKA,Industrials
SOMANYCERA,Industrials
HCC,Industrials
JISLJALEQS,Industrials
VINDHYATEL,Industrials
FIEMIND,Consumer Cyclical
TASTYBITE,Consumer Defensive
JAYNECOIND,Basic Materials
HONDAPOWER,Industrials
UNICHEMLAB,Healthcare
MUKANDLTD,Basic Materials
CIGNITITEC,Technology
MMFL,Industrials
VENKEYS,Consumer Defensive
RAMKY,Industrials
DIVGIITTS,Consumer Cyclical
CAMLINFINE,Basic Materials
SHILPAMED,Healthcare
GULFOILLUB,Basic Materials
MOL,Basic Materials
DOLLAR,Consumer Cyclical
VSTTILLERS,Industrials
SUBROS,Consumer Cyclical
DCAL,Healthcare
GABRIEL,Consumer Cyclical
MAXVIL,Consumer Goods
SIYSIL,Consumer Cyclical
TVSSRICHAK,Consumer Cyclical
ASTRAMICRO,Technology
JKIL,Industrials
JAGRAN,Communication Services
ELECTCAST,Basic Materials
CARERATING,Financial Services
INDIAGLYCO,Basic Materials
BALMLAWRIE,Industrials
KOLTEPATIL,Real Estate
IMAGICAA,Communication Services
WELENT,Industrials
TIPSINDLTD,Communication Services
SWARAJENG,Consumer Cyclical
MAYURUNIQ,Consumer Cyclical
GANECOS,Consumer Cyclical
PARAS,Industrials
LUMAXTECH,Consumer Cyclical
ACCELYA,Technology
KESORAMIND,Basic Materials
CARTRADE,Consumer Cyclical
MPSLTD,Communication Services
SEQUENT,Healthcare
HIL,Industrials
GUFICBIO,Healthcare
ITDCEM,Industrials
PILANIINVS,Financial Services
MSTCLTD,Industrials
LSIL,
PANAMAPET,Energy
OPTIEMUS,Technology
SIRCA,Basic Materials
TIRUMALCHM,Basic Materials
DYNAMATECH,Consumer Cyclical
SUNDARMHLD,Industrials
TIMETECHNO,Consumer Cyclical
DBCORP,Communication Services
ASHIANA,Real Estate
CONFIPET,Energy
DIAMONDYD,Consumer Defensive
NUCLEUS,Technology
GREENPLY,Basic Materials
JPASSOCIAT,Industrials
WENDT,Industrials
FINOPB,Financial Services
FMGOETZE,Consumer Cyclical
SANGHIIND,Basic Materials
VAKRANGEE,Technology
GNA,Consumer Cyclical
AMRUTANJAN,Healthcare
EMUDHRA,Technology
DATAMATICS,Technology
SHARDAMOTR,Consumer Cyclical
IOLCP,Healthcare
LUMAXIND,Consumer Cyclical
BAJAJHIND,Consumer Defensive
STYLAMIND,Consumer Cyclical
ANDHRAPAP,Basic Materials
SOTL,Basic Materials
